"primary"	"secondary"	"symbol"
"427"	"Dmel_CG7737"	""	""
"428"	"Dmel_CG7776"	""	""
"429"	"Dmel_CG7847"	""	""
"430"	"Dmel_CG7904"	""	""
"431"	"Dmel_CG8075"	""	""
"432"	"Dmel_CG8080"	""	""
"433"	"Dmel_CG8092"	""	""
"434"	"Dmel_CG8174"	""	""
"435"	"Dmel_CG8183"	""	""
"436"	"Dmel_CG8208"	""	""
"437"	"Dmel_CG8233"	""	""
"438"	"Dmel_CG8266"	""	""
"439"	"Dmel_CG8272"	""	""
"440"	"Dmel_CG8357"	""	""
"441"	"Dmel_CG8380"	""	""
"442"	"Dmel_CG8421"	""	""
"443"	"Dmel_CG8732"	""	""
"444"	"Dmel_CG8771"	""	""
"445"	"Dmel_CG8801"	""	""
"446"	"Dmel_CG8815"	""	""
"447"	"Dmel_CG8874"	""	""
"448"	"Dmel_CG8889"	""	""
"449"	"Dmel_CG9027"	""	""
"450"	"Dmel_CG9084"	""	""
"451"	"Dmel_CG9313"	""	""
"452"	"Dmel_CG9446"	""	""
"453"	"Dmel_CG9492"	""	""
"454"	"Dmel_CG9700"	""	""
"455"	"Dmel_CG9727"	""	""
"456"	"Dmel_CG9749"	""	""
"457"	"Dmel_CG9761"	""	""
"458"	"Dmel_CG9765"	""	""
"459"	"Dmel_CG9778"	""	""
"460"	"Dmel_CG9847"	""	""
"461"	"Dmel_CG9854"	""	""
"462"	"Dmel_CG9952"	""	""
"463"	"Dmel_CG9954"	""	""
"464"	"FBgn0000003"	"CR32864"	"7SLRNA:CR32864"
"465"	"FBgn0000008"	"CG6741"	"a"
"466"	"FBgn0000014"	"CG10325"	"abd-A"
"467"	"FBgn0000015"	"CG11648"	"Abd-B"
"468"	"FBgn0000017"	"CG4032"	"Abl"
"469"	"FBgn0000018"	"CG6093"	"abo"
"470"	"FBgn0000022"	"CG3796"	"ac"
"471"	"FBgn0000024"	"CG17907"	"Ace"
"472"	"FBgn0000028"	"CG9151"	"acj6"
"473"	"FBgn0000032"	"CG7899"	"Acph-1"
"474"	"FBgn0000036"	"CG5610"	"nAChRalpha1"
"475"	"FBgn0000037"	"CG4356"	"mAChR-A"
"476"	"FBgn0000038"	"CG11348"	"nAChRbeta1"
"477"	"FBgn0000039"	"CG6844"	"nAChRalpha2"
"478"	"FBgn0000042"	"CG4027"	"Act5C"
"479"	"FBgn0000043"	"CG12051"	"Act42A"
"480"	"FBgn0000044"	"CG10067"	"Act57B"
"481"	"FBgn0000045"	"CG7478"	"Act79B"
"482"	"FBgn0000046"	"CG18290"	"Act87E"
"483"	"FBgn0000047"	"CG5178"	"Act88F"
"484"	"FBgn0000052"	"CG9127"	"ade2"
"485"	"FBgn0000053"	"CG31628"	"ade3"
"486"	"FBgn0000054"	""	""
"487"	"FBgn0000055"	"CG3481"	"Adh"
"488"	"FBgn0000056"	"CG3484"	"Adhr"
"489"	"FBgn0000057"	"CG5124"	"adp"
"490"	"FBgn0000061"	"CG3935"	"al"
