"primary"	"secondary"	"symbol"
"487"	"S000000487"	"YBR283C"	"SSH1"
"488"	"S000000488"	"YBR284W"	""
"489"	"S000000489"	"YBR285W"	""
"490"	"S000000490"	"YBR286W"	"APE3"
"491"	"S000000491"	"YBR287W"	""
"492"	"S000000492"	"YBR288C"	"APM3"
"493"	"S000000493"	"YBR289W"	"SNF5"
"494"	"S000000494"	"YBR290W"	"BSD2"
"495"	"S000000495"	"YBR291C"	"CTP1"
"496"	"S000000496"	"YBR292C"	""
"497"	"S000000497"	"YBR293W"	"VBA2"
"498"	"S000000498"	"YBR294W"	"SUL1"
"499"	"S000000499"	"YBR295W"	"PCA1"
"500"	"S000000500"	"YBR296C"	"PHO89"
"501"	"S000000501"	"YBR297W"	"MAL33"
"502"	"S000000502"	"YBR298C"	"MAL31"
"503"	"S000000503"	"YBR299W"	"MAL32"
"504"	"S000000504"	"YBR300C"	""
"505"	"S000000505"	"YBR301W"	"PAU24"
"506"	"S000000506"	"YBR302C"	"COS2"
"507"	"S000000507"	"YCL001W"	"RER1"
"508"	"S000000508"	"YCL002C"	""
"509"	"S000000509"	"YCL003W"	""
"510"	"S000000510"	"YCL004W"	"PGS1"
"511"	"S000000511"	"YCL005W"	"LDB16"
"512"	"S000000512"	"YCL006C"	""
"513"	"S000000513"	"YCL007C"	""
"514"	"S000000514"	"YCL008C"	"STP22"
"515"	"S000000515"	"YCL009C"	"ILV6"
"516"	"S000000516"	"YCL010C"	"SGF29"
"517"	"S000000517"	"YCL011C"	"GBP2"
"518"	"S000000518"	"YCL012W"	""
"519"	"S000000519"	"YCL013W"	""
"520"	"S000000520"	"YCL014W"	"BUD3"
"521"	"S000000521"	"YCL016C"	"DCC1"
"522"	"S000000522"	"YCL017C"	"NFS1"
"523"	"S000000523"	"YCL018W"	"LEU2"
"524"	"S000000524"	"YCL019W"	""
"525"	"S000000525"	"YCL020W"	""
"526"	"S000000526"	"YCL021W"	""
"527"	"S000000527"	"YCL022C"	""
"528"	"S000000528"	"YCL023C"	""
"529"	"S000000529"	"YCL024W"	"KCC4"
"530"	"S000000530"	"YCL025C"	"AGP1"
"531"	"S000000531"	"YCL026C"	""
"532"	"S000000532"	"YCL027W"	"FUS1"
"533"	"S000000533"	"YCL028W"	"RNQ1"
"534"	"S000000534"	"YCL029C"	"BIK1"
"535"	"S000000535"	"YCL030C"	"HIS4"
"536"	"S000000536"	"YCL031C"	"RRP7"
"537"	"S000000537"	"YCL032W"	"STE50"
"538"	"S000000538"	"YCL033C"	"MXR2"
"539"	"S000000539"	"YCL034W"	"LSB5"
"540"	"S000000540"	"YCL035C"	"GRX1"
"541"	"S000000541"	"YCL036W"	"GFD2"
"542"	"S000000542"	"YCL037C"	"SRO9"
"543"	"S000000543"	"YCL038C"	"ATG22"
"544"	"S000000544"	"YCL039W"	"GID7"
"545"	"S000000545"	"YCL040W"	"GLK1"
"546"	"S000000546"	"YCL041C"	""
"547"	"S000000547"	"YCL042W"	""
"548"	"S000000548"	"YCL043C"	"PDI1"
"549"	"S000000549"	"YCL044C"	"MGR1"
"550"	"S000000550"	"YCL045C"	"EMC1"
"551"	"S000000551"	"YCL046W"	""
"552"	"S000000552"	"YCL047C"	"POF1"
"553"	"S000000553"	"YCL048W"	"SPS22"
"554"	"S000000554"	"YCL049C"	""
"555"	"S000000555"	"YCL050C"	"APA1"
"556"	"S000000556"	"YCL051W"	"LRE1"
"557"	"S000000557"	"YCL052C"	"PBN1"
