"primary"	"secondary"	"symbol"
"304"	"MGI:102516"	""	"Defa-rs10"
"305"	"MGI:102518"	""	"Adam3"
"306"	"MGI:102519"	""	"Cst3"
"307"	"MGI:102520"	""	"Phb2"
"308"	"MGI:102522"	""	"Cacnb1"
"309"	"MGI:102523"	""	"Pou4f3"
"310"	"MGI:102524"	""	"Pou4f2"
"311"	"MGI:102525"	""	"Pou4f1"
"312"	"MGI:102537"	""	"Nat3"
"313"	"MGI:102539"	""	"Tbx6"
"314"	"MGI:102541"	""	"Tbx5"
"315"	"MGI:102547"	""	"Fau"
"316"	"MGI:102548"	""	"Tsc2"
"317"	"MGI:102551"	""	"Ccnf"
"318"	"MGI:102552"	""	"Crisp3"
"319"	"MGI:102553"	""	"Crisp1"
"320"	"MGI:102556"	""	"Tbx4"
"321"	"MGI:102560"	""	"pid"
"322"	"MGI:102563"	""	"Dct"
"323"	"MGI:102564"	""	"Pou3f3"
"324"	"MGI:102565"	""	"Pou2f3"
"325"	"MGI:102567"	""	"Nrl"
"326"	"MGI:102570"	""	"Ndp"
"327"	"MGI:102579"	""	"Nmt1"
"328"	"MGI:102581"	""	"Rdh11"
"329"	"MGI:102624"	""	"Pchr"
"330"	"MGI:102634"	""	"Tg(AMY1C)9257Mm"
"331"	"MGI:102643"	""	"Myh11"
"332"	"MGI:102657"	""	"Cdc34"
"333"	"MGI:102663"	""	"Kcnd2"
"334"	"MGI:102666"	""	"Ppp5c"
"335"	"MGI:102667"	""	"Pmp2"
"336"	"MGI:102668"	""	"Lcn4"
"337"	"MGI:102669"	""	"Lcn3"
"338"	"MGI:102670"	""	"Ddx4"
"339"	"MGI:102672"	""	"Runx3"
"340"	"MGI:102673"	""	"Lhx3"
"341"	"MGI:102674"	""	"Umod"
"342"	"MGI:102675"	""	"Crym"
"343"	"MGI:102676"	""	"Abcc1"
"344"	"MGI:102682"	""	"Llgl1"
"345"	"MGI:102683"	""	"Grb7"
"346"	"MGI:102685"	""	"Cdc27"
"347"	"MGI:102687"	""	"Bcl2a1a"
"348"	"MGI:102688"	""	"H2afx"
"349"	"MGI:102690"	""	"Srm"
"350"	"MGI:102693"	""	"Sif1"
"351"	"MGI:102694"	""	"Ptprm"
"352"	"MGI:102695"	""	"Ptprf"
"353"	"MGI:102696"	""	"Pip"
"354"	"MGI:102697"	""	"Olfr3"
"355"	"MGI:102698"	""	"Olfr1"
"356"	"MGI:102699"	""	"Mtcp1"
"357"	"MGI:102700"	""	"Itga7"
"358"	"MGI:102701"	""	"Lilrb4a"
"359"	"MGI:102702"	""	"Lilr4b"
"360"	"MGI:102703"	""	"Gng4"
"361"	"MGI:102704"	""	"Gng3"
"362"	"MGI:102705"	""	"Gng2"
"363"	"MGI:102706"	""	"Fdft1"
"364"	"MGI:102707"	""	"Efna2"
"365"	"MGI:102708"	""	"Efnb1"
"366"	"MGI:102709"	""	"Cav1"
"367"	"MGI:102716"	""	"Cryba4"
"368"	"MGI:102717"	""	"Crybb3"
"369"	"MGI:102718"	""	"Vav2"
"370"	"MGI:102720"	""	"Ednrb"
"371"	"MGI:102722"	""	"Pcnt"
"372"	"MGI:102724"	""	"Tpp2"
"373"	"MGI:102725"	""	"Polr2k"
"374"	"MGI:102726"	""	"Dck"
"375"	"MGI:102738"	""	"Guca2a"
"376"	"MGI:102744"	""	"Nelfe"
"377"	"MGI:102749"	""	"Trim25"
"378"	"MGI:102755"	""	"Zbtb7b"
"379"	"MGI:102756"	""	"Try5"
"380"	"MGI:102757"	""	"Try4"
"381"	"MGI:102758"	""	"Prss3"
"382"	"MGI:102759"	""	"Prss2"
"383"	"MGI:102760"	""	"Star"
"384"	"MGI:102762"	""	"Smr2"
"385"	"MGI:102763"	""	"Smr3a"
"386"	"MGI:102764"	""	"Six3"
"387"	"MGI:102765"	""	"Ptprn"
"388"	"MGI:102767"	""	"Msbp1"
"389"	"MGI:102768"	""	"Mfge8"
"390"	"MGI:102770"	""	"Guca1a"
"391"	"MGI:102772"	""	"Gbp2"
"392"	"MGI:102773"	""	"Ces3a"
"393"	"MGI:102774"	""	"Aimp1"
"394"	"MGI:102776"	""	"Ap1m1"
"395"	"MGI:102777"	""	"Tse4"
"396"	"MGI:102778"	""	"Six2"
"397"	"MGI:102779"	""	"Fen1"
"398"	"MGI:102780"	""	"Six1"
"399"	"MGI:102784"	""	"Tgfb1i1"
"400"	"MGI:102785"	""	"Sva"
"401"	"MGI:102786"	""	"Span"
"402"	"MGI:102788"	""	"Rph3a"
"403"	"MGI:102789"	""	"Rab20"
"404"	"MGI:102790"	""	"Rab18"
"405"	"MGI:102791"	""	"Prph2"
"406"	"MGI:102792"	""	"Mcptl"
"407"	"MGI:102793"	""	"Fstl1"
"408"	"MGI:102794"	""	"Akap4"
"409"	"MGI:102795"	""	"Fgl1"
"410"	"MGI:102797"	""	"Acsl1"
"411"	"MGI:102805"	""	"Entpd1"
"412"	"MGI:102806"	""	"Acvr2a"
"413"	"MGI:102807"	""	"D4Bwg23e"
"414"	"MGI:102809"	""	"Sars"
"415"	"MGI:102810"	""	"Lmo3"
"416"	"MGI:102811"	""	"Lmo2"
"417"	"MGI:102812"	""	"Lmo1"
"418"	"MGI:102844"	""	"Mybpc3"
"419"	"MGI:102845"	""	"Bdkrb2"
"420"	"MGI:102848"	""	"Serpina3c"
"421"	"MGI:102849"	""	"Klkb1"
"422"	"MGI:102850"	""	"Klk1"
"423"	"MGI:102851"	""	"Pdx1"
"424"	"MGI:102853"	""	"Elk4"
"425"	"MGI:102854"	""	"Rpl5"
"426"	"MGI:102855"	""	"Snord21"
"427"	"MGI:102858"	""	"Fosl2"
"428"	"MGI:102889"	""	"Vcan"
"429"	"MGI:102890"	""	"Ccng1"
"430"	"MGI:102891"	""	"Adcy7"
"431"	"MGI:102896"	""	"Sult1a1"
"432"	"MGI:102897"	""	"Pcsk6"
"433"	"MGI:102918"	""	"Dgkq"
"434"	"MGI:102928"	""	"Sult1c1"
"435"	"MGI:102934"	""	"Scx"
"436"	"MGI:102935"	""	"Pou6f1"
"437"	"MGI:102944"	""	"Ube2b"
"438"	"MGI:102949"	""	"Foxn1"
"439"	"MGI:102952"	""	"Dgka"
"440"	"MGI:102956"	""	"Cdk7"
"441"	"MGI:102959"	""	"Ube2a"
"442"	"MGI:102960"	""	"Txk"
"443"	"MGI:102963"	""	"Inmt"
"444"	"MGI:102964"	""	"Srprb"
"445"	"MGI:102965"	""	"Scn7a"
"446"	"MGI:102966"	""	"Ptgdr"
"447"	"MGI:102967"	""	"Mtnr1a"
"448"	"MGI:102968"	""	"Klra8"
"449"	"MGI:102969"	""	"Gcsam"
"450"	"MGI:103006"	""	"Epb41l5"
"451"	"MGI:103007"	""	"Epb41l4a"
"452"	"MGI:103008"	""	"Epb41l3"
"453"	"MGI:103009"	""	"Epb41l2"
"454"	"MGI:103010"	""	"Epb41l1"
"455"	"MGI:103011"	""	"Ccr7"
"456"	"MGI:103012"	""	"E2f4"
"457"	"MGI:103013"	""	"Cacna1c"
"458"	"MGI:103014"	""	"Il15"
"459"	"MGI:103016"	""	"Ppp1ca"
"460"	"MGI:103017"	""	"Fcgrt"
"461"	"MGI:103020"	""	"Syn2"
"462"	"MGI:103021"	""	"Recql"
"463"	"MGI:103022"	""	"Reln"
"464"	"MGI:103024"	""	"Whl"
"465"	"MGI:103025"	""	"Mtx1"
"466"	"MGI:103027"	""	"Tarbp2"
"467"	"MGI:103032"	""	"Scg3"
"468"	"MGI:103033"	""	"Scg2"
"469"	"MGI:103034"	""	"Stat6"
"470"	"MGI:103035"	""	"Stat5b"
"471"	"MGI:103036"	""	"Stat5a"
"472"	"MGI:103038"	""	"Stat3"
"473"	"MGI:103039"	""	"Stat2"
"474"	"MGI:103040"	""	"Rsu1"
"475"	"MGI:103060"	""	"Ecm1"
"476"	"MGI:103062"	""	"Stat4"
"477"	"MGI:103063"	""	"Stat1"
"478"	"MGI:103064"	""	"Ddx3x"
"479"	"MGI:103065"	""	"Rn7s10"
"480"	"MGI:103066"	""	"Rn7s4"
"481"	"MGI:103067"	""	"Atrx"
"482"	"MGI:103070"	""	"H2-Ab1"
"483"	"MGI:103071"	""	"Rangap1"
"484"	"MGI:103072"	""	"Zyx"
"485"	"MGI:103073"	""	"Zp1"
"486"	"MGI:103075"	""	"Wee1"
"487"	"MGI:103076"	""	"Vdr"
"488"	"MGI:103077"	""	"Stx3"
"489"	"MGI:103078"	""	"Spr"
"490"	"MGI:103079"	""	"Pura"
"491"	"MGI:103080"	""	"Pigr"
"492"	"MGI:103097"	""	"Anapc1"
"493"	"MGI:103098"	""	"Pdpn"
"494"	"MGI:103099"	""	"Cox6a1"
"495"	"MGI:103100"	""	"Car7"
"496"	"MGI:103107"	""	"F10"
"497"	"MGI:103118"	""	"Btn1a1"
"498"	"MGI:103123"	""	"Serpinb6a"
"499"	"MGI:103124"	""	"Barx1"
"500"	"MGI:103145"	""	"Tpe2"
"501"	"MGI:103146"	""	"Tpe1"
"502"	"MGI:103147"	""	"Dync1h1"
"503"	"MGI:103149"	""	"Uchl1"
"504"	"MGI:103150"	""	"Slc12a1"
"505"	"MGI:103151"	""	"Pltp"
"506"	"MGI:103156"	""	"Gabrg1"
"507"	"MGI:103157"	""	"Dnase1"
"508"	"MGI:103159"	""	"Cish"
"509"	"MGI:103163"	""	"Azgp1"
"510"	"MGI:103169"	""	"Scn8a"
"511"	"MGI:103170"	""	"Gfi1"
"512"	"MGI:103172"	""	"Zfp354a"
"513"	"MGI:103173"	""	"Spe1r"
"514"	"MGI:103177"	""	"Mpz"
"515"	"MGI:103178"	""	"Vegfa"
"516"	"MGI:103180"	""	"Tcf19"
"517"	"MGI:103181"	""	"Sod3"
"518"	"MGI:103182"	""	"Slc19a1"
"519"	"MGI:103185"	""	"Uimc1"
"520"	"MGI:103186"	""	"Rn7sk"
"521"	"MGI:103187"	""	"Nqo1"
"522"	"MGI:103188"	""	"Nfib"
"523"	"MGI:103189"	""	"Mmp7"
"524"	"MGI:103190"	""	"Muc13"
"525"	"MGI:103197"	""	"Mcm5"
"526"	"MGI:103198"	""	"Cdc25a"
"527"	"MGI:103199"	""	"Mcm4"
"528"	"MGI:103201"	""	"Aqp1"
"529"	"MGI:103202"	""	"Adsl"
"530"	"MGI:103206"	""	"Acod1"
"531"	"MGI:103209"	""	"Slc17a1"
"532"	"MGI:103211"	""	"Hoxb3os"
"533"	"MGI:103219"	""	"Meox2"
"534"	"MGI:103220"	""	"Meox1"
"535"	"MGI:103221"	""	"Dsc2"
"536"	"MGI:103222"	""	"Zbtb16"
"537"	"MGI:103223"	""	"Vhl"
"538"	"MGI:103224"	""	"Fdx1"
"539"	"MGI:103225"	""	"Cyp4b1"
"540"	"MGI:103226"	""	"Cox7c"
"541"	"MGI:103227"	""	"Cmah"
"542"	"MGI:103232"	""	"Grb10"
"543"	"MGI:103234"	""	"Herc2"
"544"	"MGI:103236"	""	"Efna1"
"545"	"MGI:103238"	""	"Cyp2c29"
"546"	"MGI:103239"	""	"Tfap4"
"547"	"MGI:103241"	""	"Slk"
"548"	"MGI:103248"	""	"Phc1"
"549"	"MGI:103249"	""	"Calm3"
"550"	"MGI:103250"	""	"Calm2"
"551"	"MGI:103251"	""	"Acly"
"552"	"MGI:103253"	""	"Cyb561"
"553"	"MGI:103254"	""	"Rpia"
"554"	"MGI:103257"	""	"Inpp5b"
"555"	"MGI:103258"	""	"Adad1"
"556"	"MGI:103262"	""	"Yap1"
"557"	"MGI:103263"	""	"Mcf2l"
"558"	"MGI:103264"	""	"Arhgef2"
"559"	"MGI:103265"	""	"Frk"
"560"	"MGI:103266"	""	"Fgl2"
"561"	"MGI:103267"	""	"Eif4ebp1"
"562"	"MGI:103268"	""	"Dnajc1"
"563"	"MGI:103270"	""	"Tfeb"
"564"	"MGI:103285"	""	"Atp6v1b1"
"565"	"MGI:103286"	""	"Atp6v0a1"
"566"	"MGI:103287"	""	"Zrsr2"
"567"	"MGI:103288"	""	"Polr1c"
"568"	"MGI:103289"	""	"Relb"
"569"	"MGI:103290"	""	"Rela"
"570"	"MGI:103291"	""	"Rai1"
"571"	"MGI:103292"	""	"Rab19"
"572"	"MGI:103293"	""	"Ptpn13"
"573"	"MGI:103294"	""	"Prg2"
"574"	"MGI:103295"	""	"Pon1"
"575"	"MGI:103296"	""	"Nfatc3"
"576"	"MGI:103297"	""	"Atp7b"
"577"	"MGI:103298"	""	"Apobec1"
"578"	"MGI:103300"	""	"Rbl1"
